content,score
rugi bangettttt,1
mantap simple,5
layan cas nya ramah mudah erti,5
bantu bayar,5
transaksi uang mudah brimo,5
lupa user id dapet link nya tpi ga pencet gimana bos,3
brimo mudah gunakansaya senang kagum kembang mencolokhebat,5
oke sip,5
bantu,5
brimo blokir salah pin kali gimana buka blokir nya akun isi,5
bagus banget,5
nayam,5
top markotop,5
hidup mudah brimo thanks,5
simply easy use,5
mmbantu,5
okessi,5
eror mulu gabisa login udah pake kartu kouta daftar brimo,1
hp rusak ganti hp download brimo hp sayang aplikasi pakai karna nohp sesuai koderuicpadahal nomor pakai sesuai daftar brimosangat kecewa karna aktivitas uang ganggu kendala,1
bantu transaksi,5
oke mantab,5
user friendly glitches expect appreciate brimobank,5
baguss cepat,5
knp sya gk login gagal,1
mantaf,5
pinjam tidak lolos trus,5
cepat mudah,5
aplikasi yang bagus bantu,5
tidak login sidik jari ya min buka kunci hape fungsi sidik jari,5
bagus sih mbanking nya klo bayar mode briva jam sore kadang ngelag aja sih,4
tolong bri transaksi bayar tagih internet indihome saldo potong transaksi nya proses gimana sih uang tidak loh bayar tagih tolong bantu masa ralat terima kasih brimo karna kembali dana potong kemaren tanggal sep kembali tanggal september moga bank terima kasih,5
brimo always treated vip customer really appreciative great professionalism genuine care,5
recomended,5
bri ganggu kah akses,3
terimakasih,5
transferaplikasi tutup,5
gara gara kartu tidak kuota tidak login wifi rumah ngebut mbps,2
bagus,5
pakay app brimosaya bantu app insemagat brimo,5
mudah,5
apk tidak kendala,1
aplikasi mudah transfer bank bank,5
guna kerja,5
ok poko,5
tingkat biar efektif cepat,5
muda,4
brimo eror gk buka,2
bantu dlm transaksi,5
aplikasi bantu terimakasih brimo,5
knp sekarang sinyal susah buka app pdhl isi kuota ksel banget bikin kerja tunda telkomsel indosat ga terjang app,3
aplikasi muncul kode ruic kartu sim nomor id password solusi gimana ya biar pakai aplikasi,5
aplikasi bantu banget,5
date,5
tidak daftar,1
pokok mantap gk ribet,5
praktis hemat tenaga,4
apk brimo bantu mudah,5
mudah smuamohon pinjam acc,5
life getting easier mobile banking thx u brimo bank,5
super,5
apk nya bantu,5
bantu mr mpermudah transaksi uang,5
finger print,3
transaksi mudah murah,5
mudah cepat,5
pokok nya bantu,5
mudah mudah,5
mantafffhh,5
kode refferal nya brp ya kak,5
aplikasi update mulu minggu buka aplikasi brimo ehhh id update lagikurang kerja ni aplikasi,1
nomer handphone daftar masuk brimo,1
good cuman ga fitur paylater yang pakai belanja,5
bagus bukti transaksi ukur aja jelek,3
mudah nyaman,5
ganti sandi ulang kali salah maksud aplikasi mau sandi yang masuk tinggal bilang salah tolong brimo baik salah menganggu transaksi,2
ter atas kendala beli pulsa bitang sy kendala bitang sy kurang,5
aplikasi bri baik transaksi simpel,5
bagis,5
aplikasi bagus,5
mudah terima kasih bri,5
kirim lbh mudah,5
mudah cepat murah,5
kcp bri ngurus aktif brimo jalan info cs bank nya info tidak bkin brimo kalau pakai kartu pasca bayar kantor bank daerah info cs nya pakai kartu pascabayar karna trsynkron rekening tidak aktifin brimo nya dsuruh pulang telfon csnya nonaktifin akun brimo nya pas udh rmh telfon cs telfonnya bank gmg tugas nya langsung cs pusat cs bank daerah cs kcp aja beda beda,1
mudah lancar,5
blokir,2
buka kartu rekening minimal ya kartu rekening ktp orang tua bawa orang tua tolong,5
asik mudahmenyenangkan,5
mantap transfer cepat,5
anjayyy,5
aplikasi banking yang mudah,4
mantap surantap terimakasih kembang,5
well kalau ootongannya turunin,5
mudah kartu,5
praktis transaksi,5
aplikasi sgt jelek daftar tpi koda sak,1
mantap,5
using brimo bank years experiences great especially enjoy ease using online banking features problem came recently awful experience defrauded almost entire life savings tried several times report fraud brimo avail branch offices luck customer service representative young man maybe years old knowledge handle massive fraud encountered close account wish brimo someone follow see anything done thank youmatt gries,5
layan brimo mantul cepat muas mudah transaksi,5
layan cs cabang alun alun karawang ramah bu inggi,5
foto ktp gagal coba kali coba ulang apk,1
jofjvt,2
mudah bantu,5
bantu,5
bagus mudah transaksi,5
terima kasih bri,5
bintang kalau udah tingkat kerja kasih bintang performance nya kk,5
amanah,5
brimo sukses,5
cepat mudah transaksi,5
bagus daftar brimo mudah,5
bantu mudah transaksi,5
bagus daftar susah,5
transaksi aman pemberitahuan lengkap,4
aplikasi bagus,5
brimo mantaaabh luarrrr biasaaa,5
mantaaaaaaaaaaaaap,5
keren,5
min ya rekening bikin rekening tpi knpa pas daftar brimo pilih akun brimo hbstu pilih blm rekening emng tidak rekening tpi knpa pas sdh langkah nya hbstu langkah dstu pemberitahuan milik rekening pdhl blm rekening mohon bntu ya terimakasih,4
jl raya manuk krajan blok j tandes surabaya toko sumber rejeki,5
mantap tidak biyaya admin emang sayangat nyaman pake,5
brimo transaksi mudah cepat,4
bantu kembang,5
burn,5
buka alas jaring buruk wifi nyala full pake paket data sinyal paket data full tolong donk baik kualitas,4
bagus,5
aplikasi nyaman tf cepat,5
terimakasih vuatvbrimo mudah transaksi,5
pakai aplikasi bagus,5
okay pis,5
knp update ngga login yah koneksi internet udah pake wifi jg kalau jaring jlk login ngga,3
aplikasi mudah transaksi mana aja thx brimo,5
sempurna mantap,5
brimo bank experience great charges look fishy always get text asking always access money recently account compromised large amount took account everything suppose filled forms customer service easy reach work brimo investigated claim take weeks covid everything going understood brimo made things right money put back account honestly could ask better bank especially last experience afraid going see money ever brimo thoroughly investigated case pleased bank,5
yaman,5
oke banget sayang kadang biaya admin,5
mudah nyaman transaksi,5
transaksi mudah rumah,5
aplikasi bagus,1
jooooos,5
cepat aman,5
sukses trus,5
bri mo bantu,5
praktis tidak susah transfer beli beli terima kasih brimo,5
kerrreeen moga amanah,5
mantap bos,4
login brimo kode ruic,1
ntaps,5
smga menbantu,5
baggusss,5
bantu transaksi,5
brimo mudah proses transaksi bank bri,5
mantap click,5
hilang hp ganti device reset password tidak login username password masuk salah udah reset sesuai prosedur apk brimo tolong solusi,2
muas,4
excelente aplicacin,5
keren,5
bagus bantu,5
tolong kenpa ga masuk kenpa ko akun belokkir ya mohon bantu ya masuk akun,5
aplikasi bantu mudah transaksi bri kcp tayu,5
transaksi mudah,5
mudah brimo,5
transaksi mudah belanja bayar pakai qris ngk ribet cari uang receh,5
verifikasi wajah gagal,3
transaksi cepet gk pk,5
excelente aplicacin,5
sya senang aplikasi,5
ok mbantu,5
terima kasih sukses slalu bri,5
iklan,5
brimo mudah transaksi,5
oke,5
mudah ringkas makasih brimo,5
good,5
tangan cepat,5
ok banget cepat pulak tf kmna aja,5
bagus kadang kadang gendala online,5
kecewa banget login sulit pahala pakai nomor daftar brimo tidak mohon baik aplikasi,1
bantu apk brimo,5
alhamdulillah aplikasi mudah urus,5
simple cepat,5
aplikasi bagus,5
mantab mudah transaksi,5
used love app lost functionality great help example longer way press select text copy used able manually process repeat zelle payments easily frustrating send zelle payments make memo certain ones format copy memo previous payment edit certain details like invoice number send payment important record keeping cant wf app anymore first cant select text copy memo previous zelle payment second copy text somewhere else put memo field cant edit selected characters field memo field deletes characters end character string every time would love see corrected functionality app used use apps connect bank security,5
bantu mudah nyaman layan brimo terimkash,5
blm akun brimo,5
layan aman nyaman,5
aluss,5
muas,5
aplikasi guna,5
cepet,5
paksa nge rate brimo yaudah,5
stor tunai masuk saldo struknya tidak konfirmasi tanggungjawab brimo,1
hidup mudah brimo,5
aplikasi kentir,1
layan muas,5
susah buka buka apps kayak yt dll mudah cepat bolak ganti wifi data ga buka buka apps nya,1
bantu transaksi,5
baik,5
cepat aman nyaman,5
tunggu sms kode verifikasi banget ya bom masuk,5
mantap mudah transaksi,5
manfaat mudah,5
trima kasih bri slalu hati,5
potong,5
mudah dlm biaya apa rumah,5
want thank brimo complicated situations concerning bills ive guys years service greatly appreciated guys care people say think theyre going try make easier without dont know wouldve done lost husband last year things great allbut havemade less difficult times didnt know think help appreciate employeeswith company,5
mudah banget,5
kadang gk login tolol jaring bagus bagus aja emang tolol,1
mantap mudah transaksi,5
bantu transaksi,5
disabilitas netra guna brimo aplikasi brimo aplikasi baca layar ponsel mohon baik,4
bantu,5
terimakasih brimo nya aman nyamansemoga depan,5
mudah nyaman,5
ta kasih bintang dllu knpa akun brimo transaksi online nya nggk bisah aktif mohon jelas nya terima kasih,4
jaya,4
mohon fitur order kartu fisik kirim alamat cust daerah stok kartu fisik slalu cabang beban biaya kirim,4
tarik tunai ga pecah ribu mudah moga aman brimo,4
manfaat dan bantu aktivitas sy mksh,5
lot people trash brimo especially scandal unauthorized opened accounts forged app still cool yeah brimos savings accounts interest compared vio banks app still cool deposit checks sending nudes annnnnnd transferring money effortless app well checking accounts good right time research though like savings account might better bank checking account besides brimo real talk look jack bogle david bach follow advice money mine,5
excelente atencin de verdad muy amables atentos,5
susah daftar repot susah,1
customer brimo ten years great improvements towards services processing transactions still takes much time compared banks use brimo write check example paying rent money land lord already credited brimo still show full amount without deductions thought apply paying another financial institutions happens even accounts within well brimo transfer money checking account credit card payment gon na pending three days think better banks process quick almost day within business hours,5
tau tau hilang juta bayar abgsuran nama yang pinjam mamah tahu tau tau sedot,3
samua jd mudahjg lbh praktis lwat brimo mga bri mkin mju tmbah modern,5
brimo tentu dukung hp ku blokir deh,3
trmakasih brimo moga amanah,5
sukses dan lancar brimo utk transaksi,5
mksudnya gmna yadata udh bner tpi gk dftar cm karna kode refreal,3
mudah,4
bikin rekening bri nggak bank,5
okayy ive brimo almost years ive never complaint ive gotten stimulus check time payment days early ive never hidden fee ever spot great friends give spot mes every month really want add something spending savings always find saving specific things itll great another folder somewhere instead transfer savings spending everytime since like keep money away spending much possible anything like would great integration app opinion keep rocking brimo,5
really fast deposit check,5
mantap moga berkah orang,5
terima kasih,5
mudah transaksi,4
henti kirim notifikasi promo ganggu tidur tau etika loqout pindah bca aja reseh malam bca bank ram muka bumi,1
apk suka notif favorite,5
guna praktis,5
akun login terang nomer hp sesuai nomer yang,3
mudah praktis aman integrasi fitur manajemen uang transaksi digital lengkap investasi tabung emas dll lengkap utama milik cabang sebar rata wilayah indonesia lokasi atm mudah temu mudah transaksi good luck brimo,5
urus lancaaaaaar,5
sempet kesal woi jaring data wifi bagus pas login username password yang gabisa kesini aneh brimo susah login suka aneh laen baik bank bri biar guna tidak kecewa,1
alhamdulillah daftar brimo nya ngeluarin pulsa internet poko best brimo,5
kereenn,5
bantu percaya,5
bagus layan,5
mantap tidak atm transfer,5
bagus bantu,5
walah masuk pasword masuk blokir gimana tanggung brimo,1
keren bantu,5
bagus bantu,5
mudah cepat transaksi terima kasih brimo,5
mantepp ga kayak bsi,5
sangatkecewa agen brinomer aktif login pastidak cocok,2
ggal login bst,5
happy decided bank brimo,5
aplikasi brimo bantu transaksi,5
notifikasi sms bayar mahal mending ganti atm aja dahhhh,1
mudah,5
internal scurity nya tingkat ya,5
afisien praktis,5
mantap,5
mudah dlm transaksi,5
mantuul,5
mudah aktivitas uang terima kasih brimo,5
bantu nice,5
bri yahut,5
mudah trangsaksi,5
gimana daftar coba data sdh isi tpi daftar gagal,1
mula tentunyaa mudah hitung uang,1
bagus ok,5
mudah guna,4
cepat lgsng kirim,5
buka rekening aplikasi tahab foto ktp masuk nik ktp gagal terang data salah,1
brimo praktis co,5
aplikasi bagus sayang banget download rek koranestatment transaksi yang urai ambil duit dimna trf debit dimna transaksi yang ref angka angka yang tdk sulit baca tolong nama transaksi jelas tau tuju tau duit transaksi rwk koranestatment,3
mudah transaksi mantap,5
lintah darat biaya notifikasi sms beban costumer gila,1
mudah paham,5
pin transaksi gagal,5
sngat bagus dn bantu urus tagih,5
aduh dh mingu susah logingimana sih inisya login hp susah nya ampunaplikasi nya jlek benersusah login kode ruic truspadahal sdah benerno yng prtma dptar udah bnar sim poko nya jlek parah,1
fiturnya lengkap mantap brimo,5
bagus ngk becanda bagusss bangat,5
aplikasi brimo amanahmasak potong tarif rb tidak masuk akalmoro moro ilang uang trus kode bricari uang tidak gampang kalok potong yang motong uang orang curi tau orangnyasaya rugisiapa cobak yang ganti kalok gitu,1
mebantu,5
biar bintang aja bicara bank pilih rakyat indonesia,5
sy sangata senang aplikasi,5
fiturnya lumayan,4
mantap,3
android windows gb aplikasi aktip jenis news indonesia tgl sep pkl sfty cheat engine anti virus aktip konfirmasi ya kakak thx,3
apk bagus bantu cuman yang cek mutasi tidak langsung muncul,3
advancement technology allowing better userfriendly access via phone whatever brimo allows quickly easily view balance andor transactions great team brimo seem bank built platformapp used actual people use seems like crazy progressive idea system designed people use daily lives within chaos real world instead boardroom executives know issues almost always resolved promptly andor concerns conveyed customers throughout entire process made switch brimo years ago slowly moved away tradition banking system seems fairly antiquated day age keep fantastic work guys,5
brimo mantap hebat,5
bintang aja yang bicara,5
mantap mudah transaksi rekomendasi,5
sgt mmbantu,5
terbaikkk,5
sulit akun error sekian,1
oke oke oke,5
nomor sesuai,1
mantabb,5
aplikasi bantu banget,5
ya bantu kmi pas hbis kuota langsung klik brimo pokok ok bingiit,5
mantabs pelayananya,5
mohon bantu gabisa bikin akun brimo aplikasi,3
brimo ok,5
mudah transaksi,5
mudahdan praktis pokok dah,5
brimo bantu,5
mantabbbb,5
bagusbrimob membantuukita slm transaksi apa transferdan bnyak vitul nn nya jga dlm ber transaksi apa,5
best,5
fitur kartu kredit brimo,4
aplikasi yang bagus bantu mudah,5
mudah cepat guna moga aman jamin,5
bikin hidup mudah,5
best brimo make twinkle sparkly,5
gagal login terusnomor pake samamending ganti bank,1
koplokknp login perangkat pake data kartu daftar aplikasiribetpake wifi knp,1
godd,5
bantu bank terimakasih,4
apk gaje gabisa login,1
puas,5
bagus bantu transaksi,5
mnyenangkan,5
terimakasih aplikasi benarbenar bagus mudah bantu proses uang,5
login aja bikin susahpadahal tidak ganti nomoreh nomor hp sesuai baiktapi masalah aja,1
mudah urus,5
bri busuk,1
mudah jenis transaksi,5
pake brimo bantu lbih cepat,4
buruk sedia pinjam,1
transakasi apa lancarpake brimotingkatkan fasilitas aman aplikasi,5
kirim ribet mantap,5
mudah praktis,5
bagus bantu bisnis,5
mudah transaksi akses cepat,5
recommended banget terimakasih brimo,5
duit ga gagal bayar wifi pakai brimo dikembalikanl,1
mudah aktivitas transaksi terima kasih brimo,5
brimo buka trouble kah,2
layan yang bagus,5
mudah transaksi jual beli,5
brimo mantap,5
gara update buka brimo user pasword nya,1
unggah foto gagal,1
puas mantap moga sukses slalu,5
bantu butuh,5
bantu mudah kelola uang,5
user friendly,5
aplikasi ny lola banget pas verivikasi wajah hp mati detik ulang kn capek nungguin banget verifikasi wajah ny,1
baik,5
tolong dftar ceria ga nih,5
alhamdulillah pakai aplikasi bri mobile mudah transaksi apa moga depan jarang baru aplikasi,5
senang mudah,5
du update aplikasi nyatidak loginwhy,5
bantu daerah tidak atm bank dan atm ttup,5
mantap gampang aplikasi,5
sukasangat bantu transaksi,4
gimana apk transfer bank pending jam,5
buka blokirsama aja bankdata lengkap tp sms kode,1
layan,4
muas tf mudah,4
mudah,4
aplikai nya bagus mudah ga lot transaksi mudah,5
alhamdulillaah bantu,5
fast easy send call thanks zelle,5
trying mobile deposit camera coming capture front back check spoke service tried many times would work connected technical department great sorry remember name beautiful name ordinary things ready open case check camera brimo ap somehow turned professional first woman spoke service also lovely,5
bantu sederhana operasi tks,5
lanjut,5
bantu transaksi,5
aplikasi yang guna,5
manfaat,5
mbanking brimo mantap guna nasabah,5
brimo oke transfer bayar admin moga brimo jaya,5
mantap kevin mudah,4
juta tingalll taiii gimana uang,1
kasih notif pas jam tidur ngagetin,4
bagus,5
cepat sigap dan jos,5
terimakasih brimo transaksi mana,5
aplikasi brimo bagus tarik mudah transaksi,5
bantu dgn aplikasi moga sukses jaya manfaat,5
hp samsung pake kuota kartu daftar brimo nya yah,2
lemotttttttttttt apkk nya kebanyakann ganggu satt nyesel bgtt make bri gilir lgi urgent susah,1
cocok bisnis,5
brimo update susah login notifikasi jaring bagus jaring bagus coba pakai wifi aja login tolong baik hambat terimakasih,5
terimakasih transaksi mudahe,5
bantu uang,5
bank brimo jaya jaya jaya amin,5
sip mantul bantu transaksi,5
bagus mudah transaksi terimakasih brimo,5
mantap bos aplikasi bos,5
susah buka rekening online verifikasi wajah ktp gagal,1
mudah layananan transaksi biaya admin yang murah,5
bagus mudah transaksi,5
puas pokok,5
membantuu,5
bri jamin bagus kualitas,5
bri,5
manfaat bantu atur uang,5
bagus banget bantu transaksi bank link loveee,5
fiturnya date mantap,5
pajak rangin bang,4
mantap beli pulsa mudah,5
bantu dlm transaksi rumah,5
sip,5
transaksi apa mudah,5
mantap mudah,5
aplikasi aneh akun hapus,1
ringan mudah transaksi,5
bantu tidak ribet,5
mantap bantu,5
update aplikasi tdk buka,5
mudah top transfer,5
every time use brimo banking app phone impressed well works makes easy want usually checking recent transactions make sure recorded check register also deposit smaller checks using app recent upgrades made easy photograph sides check make deposit pretty amazing able five minutes home,5
cepat bantu,5
mula,5
transfer cepat,5
senang banget,5
tolong sedia tari tunai pecah cardless,3
figured would use mobile deposit feature late pm would make pm cutoff time atmthe process straightforward check acknowledged understandable caveat part credited day since large check didnt realize remainder check put hold business days days total printed check large institution didnt understand long hold taking account actually got money days later course got runaround customer service called got nsf fines bills automatically charged refund deposit large checks app go branch,5
mantap,5
parah nih aplikasi data mulu yang dipake ya yang,1
lumayan rangka transferpengiriman,4
puas serba mudah gratis biaya adm,5
min daftar akun brimo tidak min,5
mudah transaksi apa,5
bantu mudah transaksi,5
bagus mm bantu,5
lancar bagus,5
bantu kue,5
makasih brimo bantu,5
transaksi cepat,5
ghuhj,5
brimo really helped feel financial secure never taught anything financial responsibilities told become adult horrendous first time life feel secure way brimo structured banking almost feels catered feeling secure money helped gain confidence learn financially stable appreciate confidence brimo helped build concept bank upfront things done money relief ive brimo almost years may seem major definitely feat thanks brimo,5
nasabah bri tingkat ama aman,5
pokok mantap deh,5
aplikasi keren,5
menbantu,5
kecewa brimo yang update tidak ubah saldo aja tahan brimo gantung gagal transaksi nya tolong kah brimo kalau emang gagal balikin uang baik sistem nya,2
bagus untk transaksi,5
mantap mudah transaksi aja pakai brimo,5
coba,3
hp infinix login nomer hp yang daftar udh pasang sim kuota ya,1
enak,4
mudah lengkap mantap brimo,5
aplikasi mudah kitaayo teman teman downlod,5
mudah dslam transaksi,5
tingkat lg fitur nya komplex,5
mudah simpel,5
mudah dlm transaksi,5
verifikasi wajah hasil hasil yaapadahal ikut instruksi,5
cepat praktis mudah transaksi,5
mudah transaksi,5
mudah sgala aktifasi kirim uang,5
sahat samuel hutauruk,5
bagus bnget,5
bagus,5
mudah dan gampang transaksi,5
mudah guna tp atm kayak sulit maaf terima kasih,5
aman cepat,5
alhamdulillah terimaksih bantu inovasi dampak negatif negatif boros tinggal klik,5
daftar brmo,4
bantu darurat tidak bawa kartu atm,4
mudah cepat terima kasih brimo,5
brimo mantaf,5
dangat mudah pake cepat transaksi,5
membantuapa transfer terkadang saldo nak potong biar,5
mudah transaksi,5
mantap brimo,5
slalu stabil,5
mudah aman,5
mudah singkat kerja ku transaksi,5
mepermuda,5
ok good,5
sipppp,5
terima kasih brimo,5
memuaas,5
mudah dn mudah terimakasih brimo,5
ok banged,5
rekomend mudah transaksi mantap,5
highly enjoy app im money conscious like know whats bank times set checking account reaches certain amount im alerted multiple ways via text email feature helps keep paying overdraft fees also love easy zelle use one uses physical cash pay people back days zelle sends money instantly account without charging fee instantaneous withdrawal like apps theres tons could say nutshell like bank purse pockets times highly recommend,5
best credit card love,5
easy make scheduled payment account,5
first would like thank brimobank giving card opportunity get credit score together app must card cant see someone would along card lock feature great case card lost stolen prevent unauthorized transactions thanks another card going close lack safety features app way business shady also points get using card great save money slow process use everything turn around pay bill save money pretty fast,5
bantu,5
mantap mudah transaksi proses cepat lelet lelet pokok best,5
recommended,5
puas brimo,5
mudah transaksi trimakasi brimo mudah,5
dihpus sja apk nya pdhal pasusername sma nomor yang daftar tpi ngk masuk wkwk,1
bagus lancar,5
mudah pake,5
jujur alam pakek apl brimo simpel mudah cepat keren banget pokok,5
tolong klo fitur intip saldo kayak mandiri sign,5
musah icon fungsi,5
bank go brrrr,5
mantap keren bantu rakyat,5
mudah aplikasi,5
bagus yang aman nasabah yang utama,5
aplikasi sempurna,5
bagua,1
senang mudah,5
bantu era serba digital,5
bantu sakal,5
akun ganti kartu pas log ga luar negeri gimana nih min solusi,1
apk eror cih,1
superapps yang bantu,5
mantaappp registrasi mudah,5
cocok,5
good enak,5
es buena segura ya tengo mucho tiempo usndola es cmo tener un asesor en tu bolsillo,5
great bank,5
jelek,1
tolong kalau transaksi qris ganggu kasih tau tanda kali saldo hilang gara gara transaksi ganggu,1
puas apk,5
easy navigate easy correct mistake touch wrong numbers wish every app like one,5
cepat loding mudah pake,5
nice tidak ribet aktif transaksi lancar,5
gracias por todo muy buen banco,5
one best banks ever team friendly responds fast like spending account savings account minimum balance required either round ups awesome week already savings account nice since forget spare money fee free overdraft nice moments literally need like doesnt cost plus overdraft fee save get paid doesnt work reason ever thats big issue overall good bank set nice plus team friendly understanding situations need help ive three banks prior brimo far brimo favorite hands,5
bantu puas,5
oke,5
beautiful card love,5
transaksi apa jd mudah brimo mohon tahan tingkat layan mudah akses stabil sistem terimakasih brimo,5
hayo sahabat lh,5
dah akun bener masukin akun sandi kq tidak masuk terang sandi akun salah tolol,1
mantap bantu mudah aktifitas,5
mudah transaksi terimakasih brimo,5
saldo tidak bayar qris,4
brimo best,5
good project,5
sanggat bantu mudah transaksi desa desa pencil,5
bagus bantu,5
mantaplebih mudah,5
mbanking brimo hbis update lot transaksi coba tolong baik,5
gabisa login nomor daftar beda perangkat udah kantor bri dekat udah ubah masa ngga login gajelas,1
nomor,5
mantap,5
knapa brimo banyak eror,5
tolol lahsaya daftar aneh nya kolom isi nomor atm tidak isi nomor lengkap tolol,1
moga amanah biar gampang masyarakat bayar via aplikasi,5
malancarkan urus,5
bagus simpel aman,5
mudah,5
puas,5
bantu transaksi mantap,5
clean interface simple navigation almost regular functionality need one thing missingi regularly scheduled external transfers example get paycheck deposited brimobank checking primary account transfer funds hsa app show pending external transfers theres way see whats pending main website show right alongside pending activity,5
bantu mudah transaksi,5
gampang cepat,5
mantabbbb,5
mbangking brimo ko minggu buka ya posisi negara orang solusi buka dalam uang,2
aplikasi jalan eror sayang pilih tarik rp tambahin pilih tari kartu tari rp terima kasih,4
bagus banget tdk komentar inti bagus good,5
mudah,5
saran klo malam ganggu malam jarang pake,5
bantu,5
brimo mntap,5
efektif,5
mantap mudah aman lengkap fiturfitur nya brimo baik mobile banking,5
rekening brimo aman saldo tabung hilang,4
mantappp,5
tambahin pecah k tarik tunai,1
tolong developer brimo verifikasi wajah gagal ad baik mudah registrasi ok dapet bantu brimo hasil registrasi,5
bagus bantu update keluh jaring bagus aplikasi buka,3
bantu terima kasih brimo,5
love brimo savings account fee free overdraft boost thing could say dont like cant take big amount money atm one time especially youre college student something similar would love card,5
bri mo pinjam tempo auto debet h pelunasanbagi berat pinjam haribunga lumayan,3
mudah urus,5
mantollpolll,5
sukses brimo,5
mudah transaksi apa mana terimakasih,5
bayar mudah,5
aplikasi super bagus,5
bagus,5
ok mantaff,5
bantu undi,5
gacorrr,5
nyaman aman,5
muas bank,5
bagus bantu,5
login tutup aplikasi brimo login ulang login gilir tutup login,3
mantap,5
bagus simpel,3
baik mantap sukses,4
bayar qris uang kurang bayar terang transaksi bayar qris proses kali kek selesai kerja kerja selesai kerja rugi nasabah kecewa bri,1
bit skeptical bank thats strictly online first signed two years ago ive come really love crazy overdraft fees easy use transfer money friends family love savings plan moves extra change purchase savings certain percentage every deposit wait months look youll realize built rainy day fund emergenciesthe complaint stopped letting us use free atms actual banks inside gas stations dont particularly like get one atm card account huge inconvenience joint account husband use two different accountsbanks,5
brimo primary banking account since though dont physical banking like chase still love even fees like none open account none overdraw money monthly fees give spot limit case need overdraw account money used overdraw account come next check atms free thats hassle pulling money go different atms go bank get charged fees brimo also offers credit building card boosted score points since using since october brimo great ill banking long time come,5
simpel mudah,5
siiip,5
mudah sistem ama kadang eror topup emoney deteksi akun danagopay dll nya daftar pas coba,5
sukses brimo maju kembang,5
keren banget iseng download brimo buka rekening kantor bank goodjob praktis simple,5
brimo bagus bantu kirim uang data pulsa terimakasih moga jaya yang aplikasi brimo,5
mudah skli terimakasih,5
bagus mantap trimaksih transaksi mud cepat,4
aplikasi tipu transaksi error saldo potong milik bukti kuat,1
mantap mudah amanuntuk masyarakattrimakasih brimo,5
bantu depa tolong kasih fitur cetak bukti trnsaksi bos,5
suka brimo jiwa rantau mudah banget brimo hp moga nyaman yang ya sukses,5
olo sobat,5
notif brimo dihp yaa nomer telefon ganti,5
bagua,5
respon admin cepat suka,5
udah aplikasi nya buka ya,5
bantu mudah urus uang,3
keren bri ceria tidak acc knpa ya min,5
gimana cerita nya gadak ganti nomor ga bukak akun nya aneh banget apk nya bom ga sebar luas susah rakyatnyesel bukak mbaking bri,1
gk tf dana,3
nggk masukkoneksi internet teruspadahal paket data fullwifi kencengtetap,1
halo bank bri masuk kembang aplikasi mohon tingkat aksesibilitas sandang disabilitas tunanetra keluh aksesibilitas bri mobile benarbenar akses disabilitas tunanetra aplikasi sulit baca baca layar talkback aplikasi bagus perhati akses disabilitas,2
super super bagus aplikasi bagus lancar transaksi cepat,5
ok moga brimo amanah,5
proses cepat selancar air,5
helping teen learn value money budgeting also wonderful know school trips away quickly transfer card within minutes something unexpected comes give bunch cash goes lot town contests used ask certain things realizing costs compares prices helping better spender saver able set weekly allowance needed transfer account immediately one thing note need transferred bank parent brimo account ahead time take several days clear parent account though transfer childs account needed within minutes also child owes something transferred account back love son card carry cash especially trips takes school,5
cepat,4
qris nya alias banget kalau,1
data udah daftar ehhh belm daftar,5
bgsat apliksi susah istal,1
keren transfer cepat,5
hati,5
brimo kren layan nya oke kali gagal setor tunai jaring alhamdulillah nya selesai yang janji uang,5
bantu skrang bnyak kendala mudah daftarya terimakasih brimo,5
brimo bantu,5
butuh modal,5
daftar akun alas nya kode gagal,1
pake brimo gampang,5
bri kalau sanggup pake technologi qr bagus terap bayar ecek bayar sukses aja butuh nasabah jd rugi meringatin tipu udah bos uang nanya bri proses suruh nunggu kau nasabah mu emis duit error sistem kau jd rugi repot,1
aktif brimo nomor hp pakai orang aktif brimo cs bri lacak hp daftar nomor hp istri sulit alas nomor hp pribadi nomor pakai orang kenal pakai nomor hp istri aneh lokasi bri unit sungai kelay kab rau kaltim,1
bagus bantu mudah,4
puas tahan,5
keren banget pake brimo best,5
alhamdulillah mudah urus sya,5
aplikasi nya mudah cepat proses daftar nya terima kasih brimo moga fasilitas nya lengkap,5
aman praktis,5
mudah mana terima kasih brimo,5
mmbantu,5
pas update bri mo nya pakai,1
make simple transaksi,5
udah minggu brimo buka terang mohon maaf transaksi proses login tolong baik,1
praktis guna,5
bantu dlm transaksi,5
bikin aju gara uang tel respon lapor selesai uang yang tel gk rekening udah minggu nunggu ujung bikin lapor suruh nunggu lagu minggu ribet banget,1
great app thing improve would b multiple cards app rather log cards u multiple city cards,5
im happy brimo bankthe app extremely usefull,5
brimo bukapadahal nomor hp,2
let clarifythere tellers bank managers actual bank branches eaccount provides checking savings direct deposit app incredible need check even automatically directed brimo savings account work saving money without anything started using brimo daybeforeyournormalpayday payday right keep brimo user friendly app convenience wise back day advance payday though seriously got tight financial situations handle things look back see hours extra access paycheck life saveri still keep conventional bank account far transactions like wires cashiers checks automatic bill payi really like money separated plus send link friend sign direct deposit get money,5
apk bantu sy karna online mudah transaksi sj,5
aplikasi kreen,5
efektif mudah transaksi,5
brimo sy blokir,5
sih login mala disuru login,1
mbantu suka,5
aplikasi bagus,5
brimo mudah transaksi,5
simpel mudah,5
mudah,5
mantap,5
