content,score,sentiment_score,sentiment
mudah transaksi bri,5,6,positive
tambah rekening gmn kak,5,6,positive
manfaat sistem keamananya bagus mohon tingkat aman,5,-8,negative
simpel,5,6,positive
bantu dompet,5,-8,negative
jelek potong,1,-14,negative
akun brimo blokir,1,-6,negative
uda gk buka knpa ya,2,2,positive
pakai aplikasi emua mudah,5,-10,negative
bantu moga lbih bagus layan tingkat lg,5,-16,negative
cepat aman bagus,5,-14,negative
mudah best,3,-2,negative
manfaat transaksi cepat mufah,5,12,positive
sempurna,5,-6,negative
suka kali pakai brimo muda erti tolong tambah nominal rb tari tunai nya,5,0,neutral
terima kasih brimo,5,2,positive
great app issues easy,5,6,positive
brimo finally got attention consistent incremental growth account without personal effort part consequently brimos innovative creation passive income growth account impressive,5,-6,negative
udh bagus sayang biaya sms notifikasi nya tidak ngotak nonaktif males banget ngantri bad banget dah,3,-42,negative
baikcepat tidak ribet,4,-18,negative
muas brimo,5,10,positive
layan bri bagus,5,-12,negative
kali topup brizzi rb notifnya sukses cek masuk,3,-8,negative
sya suka,5,-2,negative
massa biaya sms nya k aduuu,2,0,neutral
un banco en mis manos sin tener q salir de casa,5,-2,negative
mudah erti,5,-6,negative
mantap bantu,5,2,positive
bagus banget mudah aja,5,-6,negative
brimo bantu,5,-8,negative
hubung aplikasi signal messenger males pake whatsapp jelek,2,-32,negative
bagus transaksi cepat,4,-6,negative
epik,5,0,neutral
brimo ulang iyaa aktif brimo yang udah daftar udah nga aktif ulang dari masuk username password udh nga aktif suruh ulang,2,-50,negative
apk ngak yang ngebantu kode kesah kagak muncul muncul kode nya udh cari tau lihat yt isi pulsa minimal k pas isi k kagak muncul kode kesah nya gimana nin bantu susah nih apk nyaa,2,-98,negative
nama akun brimo ftrianissyahsaya salah pencetsalah passwordbagaimna aktif pasword brimo sayatlng bantu,5,-22,negative
five years havent problem banking guyskudos,5,-8,negative
sendiridan login tidak bisasemua data yang masuk dah sesuai aja tidak perlu dadak aplikasi dadak erorhadeeeeh info baik gimana,2,-40,negative
puas dn mebantu,5,6,positive
oke mantapp apk nya,5,4,positive
terimakasih pelayananan yang frustasi,1,-6,negative
mantap nian,4,18,positive
nyaman,5,8,positive
terimakasih mudah dn guna pake brimo,5,10,positive
aplikasi bagus keren,5,-16,negative
mudah transaksi online terima kasih brimo,5,8,positive
sukaaaa mudahh bangett,5,-4,negative
liat mutasi batas cuman liat sampe taun doang ngilangin bukti kalau saldo hilang yaaaa biar lo nya ga tanggung gabisa ngasih bukti dihhh dasar licikkkkkkkk,2,-52,negative
mantap,1,10,positive
gimana sih oy akun tibatiba gk login login username password salah pasti id passwordnya gk aplikasi mudah depan baik bug aplikasi transaksi aja hambat,1,-20,negative
recommended,5,0,neutral
daftar susah gagal padahala cek detail,1,-24,negative
layan buruk apk jelek,1,-24,negative
ribet daftar aplikasi ampas beda yang,1,-42,negative
mudah transaksi,5,6,positive
maju bri,5,0,neutral
mudah nasabah,5,6,positive
muda dn nyman,5,-4,negative
mudah transaksi,5,6,positive
uang potong rb mutasi bacax brisurf takut ragu simpan uang dbri rb cmn bgmn lg terpotongsaran tmn bank amanah percaya lambat mending uang ambil aman kt simpan uang krn percaya aman tp nyata nya amanah suruh urus ribet uang nya tarik ama,1,-28,negative
suka banget bantu pakai mudah,5,-10,negative
oke bantu dlm transaksi,5,4,positive
top,5,10,positive
esimple ez use,5,0,neutral
senang layan aplikasi brimo murah aman,5,-24,negative
rugi bangettttt,1,-10,negative
mantap simple,5,16,positive
layan cas nya ramah mudah erti,5,-16,negative
bantu bayar,5,-14,negative
transaksi uang mudah brimo,5,6,positive
lupa user id dapet link nya tpi ga pencet gimana bos,3,0,neutral
brimo mudah gunakansaya senang kagum kembang mencolokhebat,5,-6,negative
oke sip,5,4,positive
bantu,5,-8,negative
brimo blokir salah pin kali gimana buka blokir nya akun isi,5,-36,negative
bagus banget,5,-6,negative
nayam,5,0,neutral
top markotop,5,10,positive
hidup mudah brimo thanks,5,-4,negative
simply easy use,5,0,neutral
mmbantu,5,0,neutral
okessi,5,0,neutral
eror mulu gabisa login udah pake kartu kouta daftar brimo,1,-16,negative
hp rusak ganti hp download brimo hp sayang aplikasi pakai karna nohp sesuai koderuicpadahal nomor pakai sesuai daftar brimosangat kecewa karna aktivitas uang ganggu kendala,1,-30,negative
bantu transaksi,5,0,neutral
oke mantab,5,4,positive
user friendly glitches expect appreciate brimobank,5,0,neutral
baguss cepat,5,-6,negative
knp sya gk login gagal,1,-8,negative
mantaf,5,0,neutral
pinjam tidak lolos trus,5,-18,negative
cepat mudah,5,-8,negative
aplikasi yang bagus bantu,5,-34,negative
tidak login sidik jari ya min buka kunci hape fungsi sidik jari,5,-18,negative
bagus sih mbanking nya klo bayar mode briva jam sore kadang ngelag aja sih,4,-6,negative
tolong bri transaksi bayar tagih internet indihome saldo potong transaksi nya proses gimana sih uang tidak loh bayar tagih tolong bantu masa ralat terima kasih brimo karna kembali dana potong kemaren tanggal sep kembali tanggal september moga bank terima kasih,5,-38,negative
brimo always treated vip customer really appreciative great professionalism genuine care,5,10,positive
recomended,5,0,neutral
bri ganggu kah akses,3,-4,negative
terimakasih,5,10,positive
transferaplikasi tutup,5,-4,negative
gara gara kartu tidak kuota tidak login wifi rumah ngebut mbps,2,-34,negative
bagus,5,-8,negative
pakay app brimosaya bantu app insemagat brimo,5,-8,negative
mudah,5,-2,negative
apk tidak kendala,1,-10,negative
aplikasi mudah transfer bank bank,5,-10,negative
guna kerja,5,6,positive
ok poko,5,4,positive
tingkat biar efektif cepat,5,0,neutral
muda,4,-4,negative
brimo eror gk buka,2,-14,negative
bantu dlm transaksi,5,0,neutral
aplikasi bantu terimakasih brimo,5,-6,negative
knp sekarang sinyal susah buka app pdhl isi kuota ksel banget bikin kerja tunda telkomsel indosat ga terjang app,3,-26,negative
aplikasi muncul kode ruic kartu sim nomor id password solusi gimana ya biar pakai aplikasi,5,-20,negative
aplikasi bantu banget,5,-14,negative
date,5,0,neutral
tidak daftar,1,-16,negative
pokok mantap gk ribet,5,-4,negative
praktis hemat tenaga,4,8,positive
apk brimo bantu mudah,5,-10,negative
mudah smuamohon pinjam acc,5,-2,negative
life getting easier mobile banking thx u brimo bank,5,-4,negative
super,5,-4,negative
apk nya bantu,5,-8,negative
bantu mr mpermudah transaksi uang,5,0,neutral
finger print,3,0,neutral
transaksi mudah murah,5,2,positive
mudah cepat,5,-8,negative
pokok nya bantu,5,-14,negative
mudah mudah,5,-4,negative
mantafffhh,5,0,neutral
kode refferal nya brp ya kak,5,2,positive
aplikasi update mulu minggu buka aplikasi brimo ehhh id update lagikurang kerja ni aplikasi,1,-28,negative
nomer handphone daftar masuk brimo,1,-12,negative
good cuman ga fitur paylater yang pakai belanja,5,-6,negative
bagus bukti transaksi ukur aja jelek,3,-8,negative
mudah nyaman,5,6,positive
ganti sandi ulang kali salah maksud aplikasi mau sandi yang masuk tinggal bilang salah tolong brimo baik salah menganggu transaksi,2,-62,negative
ter atas kendala beli pulsa bitang sy kendala bitang sy kurang,5,-26,negative
aplikasi bri baik transaksi simpel,5,4,positive
bagis,5,0,neutral
aplikasi bagus,5,-16,negative
mudah terima kasih bri,5,0,neutral
kirim lbh mudah,5,2,positive
mudah cepat murah,5,-12,negative
kcp bri ngurus aktif brimo jalan info cs bank nya info tidak bkin brimo kalau pakai kartu pasca bayar kantor bank daerah info cs nya pakai kartu pascabayar karna trsynkron rekening tidak aktifin brimo nya dsuruh pulang telfon csnya nonaktifin akun brimo nya pas udh rmh telfon cs telfonnya bank gmg tugas nya langsung cs pusat cs bank daerah cs kcp aja beda beda,1,-42,negative
mudah lancar,5,-6,negative
blokir,2,-6,negative
buka kartu rekening minimal ya kartu rekening ktp orang tua bawa orang tua tolong,5,-30,negative
asik mudahmenyenangkan,5,8,positive
mantap transfer cepat,5,4,positive
anjayyy,5,0,neutral
aplikasi banking yang mudah,4,-20,negative
mantap surantap terimakasih kembang,5,26,positive
well kalau ootongannya turunin,5,-2,negative
mudah kartu,5,-2,negative
praktis transaksi,5,16,positive
aplikasi sgt jelek daftar tpi koda sak,1,-24,negative
mantap,5,10,positive
using brimo bank years experiences great especially enjoy ease using online banking features problem came recently awful experience defrauded almost entire life savings tried several times report fraud brimo avail branch offices luck customer service representative young man maybe years old knowledge handle massive fraud encountered close account wish brimo someone follow see anything done thank youmatt gries,5,10,positive
layan brimo mantul cepat muas mudah transaksi,5,6,positive
layan cs cabang alun alun karawang ramah bu inggi,5,-10,negative
foto ktp gagal coba kali coba ulang apk,1,-6,negative
jofjvt,2,0,neutral
mudah bantu,5,-10,negative
bantu,5,-8,negative
bagus mudah transaksi,5,-2,negative
terima kasih bri,5,2,positive
bintang kalau udah tingkat kerja kasih bintang performance nya kk,5,2,positive
amanah,5,10,positive
brimo sukses,5,6,positive
cepat mudah transaksi,5,0,neutral
bagus daftar brimo mudah,5,-16,negative
bantu mudah transaksi,5,-2,negative
bagus daftar susah,5,-20,negative
transaksi aman pemberitahuan lengkap,4,-4,negative
aplikasi bagus,5,-16,negative
brimo mantaaabh luarrrr biasaaa,5,0,neutral
mantaaaaaaaaaaaaap,5,0,neutral
keren,5,0,neutral
min ya rekening bikin rekening tpi knpa pas daftar brimo pilih akun brimo hbstu pilih blm rekening emng tidak rekening tpi knpa pas sdh langkah nya hbstu langkah dstu pemberitahuan milik rekening pdhl blm rekening mohon bntu ya terimakasih,4,22,positive
jl raya manuk krajan blok j tandes surabaya toko sumber rejeki,5,8,positive
mantap tidak biyaya admin emang sayangat nyaman pake,5,8,positive
brimo transaksi mudah cepat,4,0,neutral
bantu kembang,5,-2,negative
burn,5,0,neutral
buka alas jaring buruk wifi nyala full pake paket data sinyal paket data full tolong donk baik kualitas,4,-8,negative
bagus,5,-8,negative
aplikasi nyaman tf cepat,5,-6,negative
terimakasih vuatvbrimo mudah transaksi,5,16,positive
pakai aplikasi bagus,5,-16,negative
okay pis,5,8,positive
knp update ngga login yah koneksi internet udah pake wifi jg kalau jaring jlk login ngga,3,-12,negative
aplikasi mudah transaksi mana aja thx brimo,5,0,neutral
sempurna mantap,5,4,positive
brimo bank experience great charges look fishy always get text asking always access money recently account compromised large amount took account everything suppose filled forms customer service easy reach work brimo investigated claim take weeks covid everything going understood brimo made things right money put back account honestly could ask better bank especially last experience afraid going see money ever brimo thoroughly investigated case pleased bank,5,-2,negative
yaman,5,0,neutral
oke banget sayang kadang biaya admin,5,6,positive
mudah nyaman transaksi,5,14,positive
transaksi mudah rumah,5,12,positive
aplikasi bagus,1,-16,negative
jooooos,5,0,neutral
cepat aman,5,-6,negative
sukses trus,5,6,positive
bri mo bantu,5,-8,negative
praktis tidak susah transfer beli beli terima kasih brimo,5,-18,negative
kerrreeen moga amanah,5,12,positive
mantap bos,4,16,positive
login brimo kode ruic,1,-6,negative
ntaps,5,0,neutral
smga menbantu,5,2,positive
baggusss,5,0,neutral
bantu transaksi,5,0,neutral
brimo mudah proses transaksi bank bri,5,8,positive
mantap click,5,10,positive
hilang hp ganti device reset password tidak login username password masuk salah udah reset sesuai prosedur apk brimo tolong solusi,2,-38,negative
muas,4,10,positive
excelente aplicacin,5,0,neutral
keren,5,0,neutral
bagus bantu,5,-16,negative
tolong kenpa ga masuk kenpa ko akun belokkir ya mohon bantu ya masuk akun,5,-12,negative
aplikasi bantu mudah transaksi bri kcp tayu,5,-10,negative
transaksi mudah,5,6,positive
mudah brimo,5,-2,negative
transaksi mudah belanja bayar pakai qris ngk ribet cari uang receh,5,-28,negative
verifikasi wajah gagal,3,-8,negative
transaksi cepet gk pk,5,12,positive
excelente aplicacin,5,0,neutral
sya senang aplikasi,5,-16,negative
ok mbantu,5,8,positive
terima kasih sukses slalu bri,5,8,positive
iklan,5,0,neutral
brimo mudah transaksi,5,6,positive
oke,5,4,positive
mudah ringkas makasih brimo,5,2,positive
good,5,10,positive
tangan cepat,5,-4,negative
ok banget cepat pulak tf kmna aja,5,2,positive
bagus kadang kadang gendala online,5,4,positive
kecewa banget login sulit pahala pakai nomor daftar brimo tidak mohon baik aplikasi,1,-30,negative
bantu apk brimo,5,-8,negative
alhamdulillah aplikasi mudah urus,5,0,neutral
simple cepat,5,0,neutral
aplikasi bagus,5,-16,negative
mantab mudah transaksi,5,6,positive
used love app lost functionality great help example longer way press select text copy used able manually process repeat zelle payments easily frustrating send zelle payments make memo certain ones format copy memo previous payment edit certain details like invoice number send payment important record keeping cant wf app anymore first cant select text copy memo previous zelle payment second copy text somewhere else put memo field cant edit selected characters field memo field deletes characters end character string every time would love see corrected functionality app used use apps connect bank security,5,-8,negative
bantu mudah nyaman layan brimo terimkash,5,-6,negative
blm akun brimo,5,0,neutral
layan aman nyaman,5,4,positive
aluss,5,0,neutral
muas,5,10,positive
aplikasi guna,5,-6,negative
cepet,5,4,positive
paksa nge rate brimo yaudah,5,-16,negative
stor tunai masuk saldo struknya tidak konfirmasi tanggungjawab brimo,1,0,neutral
hidup mudah brimo,5,-10,negative
aplikasi kentir,1,-8,negative
layan muas,5,6,positive
susah buka buka apps kayak yt dll mudah cepat bolak ganti wifi data ga buka buka apps nya,1,-56,negative
bantu transaksi,5,0,neutral
baik,5,-2,negative
cepat aman nyaman,5,2,positive
tunggu sms kode verifikasi banget ya bom masuk,5,-8,negative
mantap mudah transaksi,5,16,positive
manfaat mudah,5,8,positive
trima kasih bri slalu hati,5,-4,negative
potong,5,-4,negative
mudah dlm biaya apa rumah,5,-2,negative
want thank brimo complicated situations concerning bills ive guys years service greatly appreciated guys care people say think theyre going try make easier without dont know wouldve done lost husband last year things great allbut havemade less difficult times didnt know think help appreciate employeeswith company,5,22,positive
mudah banget,5,0,neutral
kadang gk login tolol jaring bagus bagus aja emang tolol,1,-22,negative
mantap mudah transaksi,5,16,positive
bantu transaksi,5,0,neutral
disabilitas netra guna brimo aplikasi brimo aplikasi baca layar ponsel mohon baik,4,-22,negative
bantu,5,-8,negative
terimakasih brimo nya aman nyamansemoga depan,5,10,positive
mudah nyaman,5,6,positive
ta kasih bintang dllu knpa akun brimo transaksi online nya nggk bisah aktif mohon jelas nya terima kasih,4,-14,negative
jaya,4,8,positive
mohon fitur order kartu fisik kirim alamat cust daerah stok kartu fisik slalu cabang beban biaya kirim,4,-12,negative
tarik tunai ga pecah ribu mudah moga aman brimo,4,10,positive
manfaat dan bantu aktivitas sy mksh,5,6,positive
lot people trash brimo especially scandal unauthorized opened accounts forged app still cool yeah brimos savings accounts interest compared vio banks app still cool deposit checks sending nudes annnnnnd transferring money effortless app well checking accounts good right time research though like savings account might better bank checking account besides brimo real talk look jack bogle david bach follow advice money mine,5,10,positive
excelente atencin de verdad muy amables atentos,5,0,neutral
susah daftar repot susah,1,-28,negative
customer brimo ten years great improvements towards services processing transactions still takes much time compared banks use brimo write check example paying rent money land lord already credited brimo still show full amount without deductions thought apply paying another financial institutions happens even accounts within well brimo transfer money checking account credit card payment gon na pending three days think better banks process quick almost day within business hours,5,4,positive
tau tau hilang juta bayar abgsuran nama yang pinjam mamah tahu tau tau sedot,3,-68,negative
samua jd mudahjg lbh praktis lwat brimo mga bri mkin mju tmbah modern,5,14,positive
brimo tentu dukung hp ku blokir deh,3,-4,negative
trmakasih brimo moga amanah,5,12,positive
sukses dan lancar brimo utk transaksi,5,10,positive
mksudnya gmna yadata udh bner tpi gk dftar cm karna kode refreal,3,-6,negative
mudah,4,-2,negative
bikin rekening bri nggak bank,5,-6,negative
okayy ive brimo almost years ive never complaint ive gotten stimulus check time payment days early ive never hidden fee ever spot great friends give spot mes every month really want add something spending savings always find saving specific things itll great another folder somewhere instead transfer savings spending everytime since like keep money away spending much possible anything like would great integration app opinion keep rocking brimo,5,16,positive
really fast deposit check,5,2,positive
mantap moga berkah orang,5,20,positive
terima kasih,5,2,positive
mudah transaksi,4,6,positive
henti kirim notifikasi promo ganggu tidur tau etika loqout pindah bca aja reseh malam bca bank ram muka bumi,1,-26,negative
apk suka notif favorite,5,6,positive
guna praktis,5,10,positive
akun login terang nomer hp sesuai nomer yang,3,-10,negative
mudah praktis aman integrasi fitur manajemen uang transaksi digital lengkap investasi tabung emas dll lengkap utama milik cabang sebar rata wilayah indonesia lokasi atm mudah temu mudah transaksi good luck brimo,5,34,positive
urus lancaaaaaar,5,0,neutral
sempet kesal woi jaring data wifi bagus pas login username password yang gabisa kesini aneh brimo susah login suka aneh laen baik bank bri biar guna tidak kecewa,1,-62,negative
alhamdulillah daftar brimo nya ngeluarin pulsa internet poko best brimo,5,-6,negative
kereenn,5,0,neutral
bantu percaya,5,-4,negative
bagus layan,5,-12,negative
mantap tidak atm transfer,5,0,neutral
bagus bantu,5,-16,negative
walah masuk pasword masuk blokir gimana tanggung brimo,1,-22,negative
keren bantu,5,-8,negative
bagus bantu,5,-16,negative
mudah cepat transaksi terima kasih brimo,5,2,positive
mantepp ga kayak bsi,5,-6,negative
sangatkecewa agen brinomer aktif login pastidak cocok,2,-18,negative
ggal login bst,5,0,neutral
happy decided bank brimo,5,10,positive
aplikasi brimo bantu transaksi,5,-8,negative
notifikasi sms bayar mahal mending ganti atm aja dahhhh,1,-14,negative
mudah,5,-2,negative
internal scurity nya tingkat ya,5,10,positive
afisien praktis,5,8,positive
mantap,5,10,positive
mudah dlm transaksi,5,6,positive
mantuul,5,0,neutral
mudah aktivitas uang terima kasih brimo,5,0,neutral
bantu nice,5,0,neutral
bri yahut,5,0,neutral
mudah trangsaksi,5,-2,negative
gimana daftar coba data sdh isi tpi daftar gagal,1,-38,negative
mula tentunyaa mudah hitung uang,1,-6,negative
bagus ok,5,0,neutral
mudah guna,4,0,neutral
cepat lgsng kirim,5,-2,negative
buka rekening aplikasi tahab foto ktp masuk nik ktp gagal terang data salah,1,-42,negative
brimo praktis co,5,8,positive
aplikasi bagus sayang banget download rek koranestatment transaksi yang urai ambil duit dimna trf debit dimna transaksi yang ref angka angka yang tdk sulit baca tolong nama transaksi jelas tau tuju tau duit transaksi rwk koranestatment,3,-64,negative
mudah transaksi mantap,5,16,positive
lintah darat biaya notifikasi sms beban costumer gila,1,-26,negative
mudah paham,5,-2,negative
pin transaksi gagal,5,0,neutral
sngat bagus dn bantu urus tagih,5,-22,negative
aduh dh mingu susah logingimana sih inisya login hp susah nya ampunaplikasi nya jlek benersusah login kode ruic truspadahal sdah benerno yng prtma dptar udah bnar sim poko nya jlek parah,1,-38,negative
fiturnya lengkap mantap brimo,5,4,positive
bagus ngk becanda bagusss bangat,5,-8,negative
aplikasi brimo amanahmasak potong tarif rb tidak masuk akalmoro moro ilang uang trus kode bricari uang tidak gampang kalok potong yang motong uang orang curi tau orangnyasaya rugisiapa cobak yang ganti kalok gitu,1,-108,negative
mebantu,5,0,neutral
biar bintang aja bicara bank pilih rakyat indonesia,5,-8,negative
sy sangata senang aplikasi,5,-16,negative
fiturnya lumayan,4,-4,negative
mantap,3,10,positive
android windows gb aplikasi aktip jenis news indonesia tgl sep pkl sfty cheat engine anti virus aktip konfirmasi ya kakak thx,3,2,positive
apk bagus bantu cuman yang cek mutasi tidak langsung muncul,3,-44,negative
advancement technology allowing better userfriendly access via phone whatever brimo allows quickly easily view balance andor transactions great team brimo seem bank built platformapp used actual people use seems like crazy progressive idea system designed people use daily lives within chaos real world instead boardroom executives know issues almost always resolved promptly andor concerns conveyed customers throughout entire process made switch brimo years ago slowly moved away tradition banking system seems fairly antiquated day age keep fantastic work guys,5,12,positive
brimo mantap hebat,5,10,positive
bintang aja yang bicara,5,-8,negative
mantap mudah transaksi rekomendasi,5,16,positive
sgt mmbantu,5,0,neutral
terbaikkk,5,0,neutral
sulit akun error sekian,1,-10,negative
oke oke oke,5,12,positive
nomor sesuai,1,6,positive
mantabb,5,0,neutral
aplikasi bantu banget,5,-14,negative
ya bantu kmi pas hbis kuota langsung klik brimo pokok ok bingiit,5,10,positive
mantabs pelayananya,5,0,neutral
mohon bantu gabisa bikin akun brimo aplikasi,3,-20,negative
brimo ok,5,8,positive
mudah transaksi,5,6,positive
mudahdan praktis pokok dah,5,-4,negative
brimo bantu,5,-8,negative
mantabbbb,5,0,neutral
bagusbrimob membantuukita slm transaksi apa transferdan bnyak vitul nn nya jga dlm ber transaksi apa,5,4,positive
best,5,0,neutral
fitur kartu kredit brimo,4,0,neutral
aplikasi yang bagus bantu mudah,5,-36,negative
mudah cepat guna moga aman jamin,5,-14,negative
bikin hidup mudah,5,-10,negative
best brimo make twinkle sparkly,5,0,neutral
gagal login terusnomor pake samamending ganti bank,1,-14,negative
koplokknp login perangkat pake data kartu daftar aplikasiribetpake wifi knp,1,-12,negative
godd,5,0,neutral
bantu bank terimakasih,4,2,positive
apk gaje gabisa login,1,-6,negative
puas,5,6,positive
bagus bantu transaksi,5,-8,negative
mnyenangkan,5,0,neutral
terimakasih aplikasi benarbenar bagus mudah bantu proses uang,5,-14,negative
login aja bikin susahpadahal tidak ganti nomoreh nomor hp sesuai baiktapi masalah aja,1,-14,negative
mudah urus,5,-2,negative
bri busuk,1,-10,negative
mudah jenis transaksi,5,6,positive
pake brimo bantu lbih cepat,4,-14,negative
buruk sedia pinjam,1,-6,negative
transakasi apa lancarpake brimotingkatkan fasilitas aman aplikasi,5,-22,negative
kirim ribet mantap,5,6,positive
mudah praktis,5,6,positive
bagus bantu bisnis,5,-10,negative
mudah transaksi akses cepat,5,4,positive
recommended banget terimakasih brimo,5,12,positive
duit ga gagal bayar wifi pakai brimo dikembalikanl,1,-14,negative
mudah aktivitas transaksi terima kasih brimo,5,8,positive
brimo buka trouble kah,2,-6,negative
layan yang bagus,5,-22,negative
mudah transaksi jual beli,5,2,positive
brimo mantap,5,10,positive
gara update buka brimo user pasword nya,1,-14,negative
unggah foto gagal,1,-2,negative
puas mantap moga sukses slalu,5,24,positive
bantu butuh,5,-18,negative
bantu mudah kelola uang,5,-10,negative
user friendly,5,0,neutral
aplikasi ny lola banget pas verivikasi wajah hp mati detik ulang kn capek nungguin banget verifikasi wajah ny,1,-20,negative
baik,5,-2,negative
tolong dftar ceria ga nih,5,-6,negative
alhamdulillah pakai aplikasi bri mobile mudah transaksi apa moga depan jarang baru aplikasi,5,-4,negative
senang mudah,5,-10,negative
du update aplikasi nyatidak loginwhy,5,-8,negative
bantu daerah tidak atm bank dan atm ttup,5,-18,negative
mantap gampang aplikasi,5,-4,negative
sukasangat bantu transaksi,4,0,neutral
gimana apk transfer bank pending jam,5,-6,negative
buka blokirsama aja bankdata lengkap tp sms kode,1,-16,negative
layan,4,-4,negative
muas tf mudah,4,8,positive
mudah,4,-2,negative
aplikai nya bagus mudah ga lot transaksi mudah,5,-14,negative
alhamdulillaah bantu,5,-8,negative
fast easy send call thanks zelle,5,6,positive
trying mobile deposit camera coming capture front back check spoke service tried many times would work connected technical department great sorry remember name beautiful name ordinary things ready open case check camera brimo ap somehow turned professional first woman spoke service also lovely,5,-2,negative
bantu sederhana operasi tks,5,-16,negative
lanjut,5,-10,negative
bantu transaksi,5,0,neutral
aplikasi yang guna,5,-16,negative
manfaat,5,10,positive
mbanking brimo mantap guna nasabah,5,20,positive
brimo oke transfer bayar admin moga brimo jaya,5,8,positive
mantap kevin mudah,4,8,positive
juta tingalll taiii gimana uang,1,4,positive
kasih notif pas jam tidur ngagetin,4,-2,negative
bagus,5,-8,negative
cepat sigap dan jos,5,-12,negative
terimakasih brimo transaksi mana,5,18,positive
aplikasi brimo bagus tarik mudah transaksi,5,-6,negative
bantu dgn aplikasi moga sukses jaya manfaat,5,10,positive
hp samsung pake kuota kartu daftar brimo nya yah,2,-10,negative
lemotttttttttttt apkk nya kebanyakann ganggu satt nyesel bgtt make bri gilir lgi urgent susah,1,-24,negative
cocok bisnis,5,0,neutral
brimo update susah login notifikasi jaring bagus jaring bagus coba pakai wifi aja login tolong baik hambat terimakasih,5,-14,negative
terimakasih transaksi mudahe,5,18,positive
bantu uang,5,-8,negative
bank brimo jaya jaya jaya amin,5,18,positive
sip mantul bantu transaksi,5,0,neutral
bagus mudah transaksi terimakasih brimo,5,8,positive
mantap bos aplikasi bos,5,14,positive
susah buka rekening online verifikasi wajah ktp gagal,1,-20,negative
mudah layananan transaksi biaya admin yang murah,5,-8,negative
bagus mudah transaksi,5,-2,negative
puas pokok,5,0,neutral
membantuu,5,0,neutral
bri jamin bagus kualitas,5,-10,negative
bri,5,0,neutral
manfaat bantu atur uang,5,-6,negative
bagus banget bantu transaksi bank link loveee,5,-6,negative
fiturnya date mantap,5,10,positive
pajak rangin bang,4,-6,negative
mantap beli pulsa mudah,5,-4,negative
bantu dlm transaksi rumah,5,6,positive
sip,5,0,neutral
transaksi apa mudah,5,0,neutral
mantap mudah,5,8,positive
aplikasi aneh akun hapus,1,-22,negative
ringan mudah transaksi,5,4,positive
bantu tidak ribet,5,-26,negative
mantap bantu,5,2,positive
update aplikasi tdk buka,5,-14,negative
mudah top transfer,5,8,positive
every time use brimo banking app phone impressed well works makes easy want usually checking recent transactions make sure recorded check register also deposit smaller checks using app recent upgrades made easy photograph sides check make deposit pretty amazing able five minutes home,5,4,positive
cepat bantu,5,-14,negative
mula,5,-6,negative
transfer cepat,5,-6,negative
senang banget,5,-6,negative
tolong sedia tari tunai pecah cardless,3,8,positive
figured would use mobile deposit feature late pm would make pm cutoff time atmthe process straightforward check acknowledged understandable caveat part credited day since large check didnt realize remainder check put hold business days days total printed check large institution didnt understand long hold taking account actually got money days later course got runaround customer service called got nsf fines bills automatically charged refund deposit large checks app go branch,5,-10,negative
mantap,5,10,positive
parah nih aplikasi data mulu yang dipake ya yang,1,-38,negative
lumayan rangka transferpengiriman,4,-4,negative
puas serba mudah gratis biaya adm,5,12,positive
min daftar akun brimo tidak min,5,-16,negative
mudah transaksi apa,5,0,neutral
bantu mudah transaksi,5,-2,negative
bagus mm bantu,5,-16,negative
lancar bagus,5,-12,negative
bantu kue,5,-8,negative
makasih brimo bantu,5,0,neutral
transaksi cepat,5,2,positive
ghuhj,5,0,neutral
brimo really helped feel financial secure never taught anything financial responsibilities told become adult horrendous first time life feel secure way brimo structured banking almost feels catered feeling secure money helped gain confidence learn financially stable appreciate confidence brimo helped build concept bank upfront things done money relief ive brimo almost years may seem major definitely feat thanks brimo,5,2,positive
nasabah bri tingkat ama aman,5,10,positive
pokok mantap deh,5,4,positive
aplikasi keren,5,-8,negative
menbantu,5,0,neutral
kecewa brimo yang update tidak ubah saldo aja tahan brimo gantung gagal transaksi nya tolong kah brimo kalau emang gagal balikin uang baik sistem nya,2,-48,negative
bagus untk transaksi,5,0,neutral
mantap mudah transaksi aja pakai brimo,5,18,positive
coba,3,-2,negative
hp infinix login nomer hp yang daftar udh pasang sim kuota ya,1,-4,negative
enak,4,-8,negative
mudah lengkap mantap brimo,5,2,positive
aplikasi mudah kitaayo teman teman downlod,5,-10,negative
mudah dslam transaksi,5,6,positive
tingkat lg fitur nya komplex,5,2,positive
mudah simpel,5,4,positive
mudah dlm transaksi,5,6,positive
verifikasi wajah hasil hasil yaapadahal ikut instruksi,5,0,neutral
cepat praktis mudah transaksi,5,8,positive
mudah transaksi,5,6,positive
mudah sgala aktifasi kirim uang,5,2,positive
sahat samuel hutauruk,5,0,neutral
bagus bnget,5,-8,negative
bagus,5,-8,negative
mudah dan gampang transaksi,5,0,neutral
mudah guna tp atm kayak sulit maaf terima kasih,5,-10,negative
aman cepat,5,-6,negative
alhamdulillah terimaksih bantu inovasi dampak negatif negatif boros tinggal klik,5,-4,negative
daftar brmo,4,-6,negative
bantu darurat tidak bawa kartu atm,4,-32,negative
mudah cepat terima kasih brimo,5,-6,negative
brimo mantaf,5,0,neutral
dangat mudah pake cepat transaksi,5,0,neutral
membantuapa transfer terkadang saldo nak potong biar,5,0,neutral
mudah transaksi,5,6,positive
mantap brimo,5,10,positive
